Name,LSTMED Test Loss,LSTMED Train Trend Accuracy,LSTMED Test Trend Accuracy,Random Forest MSE,Random Forest MAE,XGBoost MSE,XGBoost MAE,Random Forest Trend Accuracy,XGBoost Trend Accuracy,Prophet MSE,Prophet MAE
AVT and SCSC,0.022989604622125626,0.49313186813186816,0.5222222222222223,0.00218786471506865,0.02999768374964058,0.0025199754968700887,0.03395957586268747,0.6337209302325582,0.622093023255814,40.20214722626194,5.53002369048167
PLUS and TTMI,0.05041135475039482,0.4684065934065934,0.4888888888888889,0.0053829007327713665,0.04346286042568053,0.006686682196670527,0.04752599297986211,0.5174418604651163,0.5406976744186046,10.168137390189104,2.5734147101785982
SNPS and SPSC,0.018874673172831535,0.4793956043956044,0.5222222222222223,0.006376374717431831,0.05874919828489431,0.007703520757356321,0.06442238690479578,0.5465116279069767,0.5988372093023255,264.31113302225623,14.152010752116253
ADI and AVGO,0.09330538660287857,0.046703296703296704,0.07222222222222222,0.0017349412858848796,0.02988471693944806,0.0021214971263611546,0.03492165049030964,0.42441860465116277,0.38953488372093026,27117.22796643931,147.246871008956
MRVL and VECO,0.033261146396398544,0.5288461538461539,0.5333333333333333,0.0018058837075984608,0.027877296543625873,0.0023071298150012308,0.03205243491173831,0.5232558139534884,0.5,5.313830901449178,1.9704141172883232
AMAT and MCHP,0.0407855398952961,0.47802197802197804,0.48333333333333334,0.0016762595577358272,0.031055099261325755,0.0019084904022357101,0.03459800377612544,0.4941860465116279,0.5058139534883721,122.75805141059666,10.503397665805123
AMAT and NXPI,0.03316423296928406,0.49175824175824173,0.45,0.00249999845732359,0.037619705797462065,0.0025356747021464403,0.03801504976812161,0.43023255813953487,0.5,481.0413569787339,21.076440922698165
AMAT and SLAB,0.023134976625442505,0.45467032967032966,0.5055555555555555,0.0019450982844451666,0.03346816026424183,0.00199702550139571,0.03328738901040508,0.48255813953488375,0.5174418604651163,162.45534829540168,10.216879430291241
KLAC and MCHP,0.00985519029200077,0.4697802197802198,0.45,0.0018885098389745582,0.03388133418860172,0.0028448017867455737,0.04045518970380205,0.5174418604651163,0.5465116279069767,13.708778818990702,3.006106487755405
LRCX and MCHP,0.15278838574886322,0.4945054945054945,0.43333333333333335,0.008105328602675996,0.05771040121843568,0.009427702649518793,0.0633102052023606,0.5,0.5406976744186046,21.29068397879486,3.9103752612115605
LRCX and NXPI,0.054434195160865784,0.5096153846153846,0.4111111111111111,0.003139826937758242,0.04342623402392357,0.003775079058356335,0.04666615076852438,0.5581395348837209,0.5348837209302325,68.06096664740691,6.831973107917797
MCHP and NXPI,0.04508285969495773,0.4945054945054945,0.49444444444444446,0.0043023863335047005,0.046359992655809194,0.004797340919103333,0.05020530143030782,0.5116279069767442,0.5406976744186046,333.0239175321938,14.48995246399408
ASML and KLIC,0.13671478629112244,0.03983516483516483,0.1111111111111111,0.002721428221610758,0.037676054405298864,0.0029932670996299514,0.039775514949711537,0.5406976744186046,0.5523255813953488,17.819616721523428,3.4727598640231307
ASUR and IVAC,0.037904042750597,0.47802197802197804,0.49444444444444446,0.0011508578933900346,0.023901763454420986,0.0011583356186518463,0.025551855539717835,0.5755813953488372,0.5755813953488372,2.68340065607915,1.5782961663404467
ASUR and STRM,0.020086627453565598,0.4684065934065934,0.5,0.0015610459891832232,0.03018841322151979,0.0020164230110700085,0.03457379522574493,0.5174418604651163,0.4883720930232558,0.23462778321496688,0.40476746848687734
GSIT and IVAC,0.025967005640268326,0.4835164835164835,0.4722222222222222,0.0007333793330129888,0.019578547031687234,0.0008571984372667809,0.02156935331105685,0.5465116279069767,0.6046511627906976,2.3168719133178457,1.386417560270494
GSIT and RELL,0.04394099488854408,0.4807692307692308,0.5111111111111111,0.005747637553414801,0.05170904592943059,0.006793605378767776,0.0568145892395291,0.5581395348837209,0.5988372093023255,12.809740978107257,2.93766240074824
GSIT and STRM,0.01557842642068863,0.46016483516483514,0.5055555555555555,0.001162506098356237,0.025366466848078698,0.0014587680512263414,0.029102226274033312,0.5116279069767442,0.4883720930232558,0.23960434514005147,0.38973850444951597
IVAC and STRM,0.04212000221014023,0.4409340659340659,0.48333333333333334,0.002599145380850078,0.03891158292263977,0.0033148310034105647,0.045335886335084515,0.43023255813953487,0.4476744186046512,0.06733689553795658,0.21086824606616308
LIQT and STRM,0.03151411563158035,0.43543956043956045,0.5222222222222223,0.0015502987569056524,0.02954245585494427,0.0019871002524582612,0.03407584612309789,0.46511627906976744,0.436046511627907,0.24017587277417538,0.39668178404335425
RELL and STRM,0.010264098644256592,0.45054945054945056,0.5222222222222223,0.0012077587949549326,0.026464413686803818,0.0015786910175879735,0.03014806791654402,0.5,0.5116279069767442,0.20595780191152244,0.3681146677476029
ATOM and MSTR,0.0128239830955863,0.4835164835164835,0.46111111111111114,0.0009923976440551297,0.02327408999036856,0.0011393391546090583,0.024493575363972606,0.5523255813953488,0.5406976744186046,9487.051041787547,86.6759247732903
ATOM and VERI,0.012098221108317375,0.4793956043956044,0.4888888888888889,0.0006575034625650243,0.019292952065650522,0.0010862366590770815,0.026265050827555838,0.48255813953488375,0.46511627906976744,20.301664365506614,4.291451147096616
MSTR and VERI,0.002265811897814274,0.49313186813186816,0.46111111111111114,0.000497185307945889,0.017312817888323666,0.000553058139301457,0.018321010061389885,0.45348837209302323,0.48255813953488375,32.51605672937977,5.231392258698164
AXTI and MDB,0.024042917415499687,0.49313186813186816,0.4666666666666667,0.0016720241784447547,0.02905563947016971,0.0017529794249216738,0.030486840688069464,0.5813953488372093,0.5232558139534884,111845.55199265058,308.29077512684484
